username,market_influence_score,Followers,account_avg_likes,total_posts_count,engagement_rate_60d,New Post Avg. Likes,Total Likes
cristiano,92.0,485200000.0,8700000.0,3400.0,0.013,6300000.0,29100000000.0
kyliejenner,91.0,370700000.0,8199999.999999999,7000.0,0.014,5000000.0,57400000000.0
leomessi,90.0,363900000.0,6700000.0,915.0,0.01,3500000.0,6100000000.0
selenagomez,93.0,348800000.0,6100000.0,1900.0,0.005,1700000.0,11400000000.0
therock,91.0,339400000.0,1800000.0,6800.0,0.003,932000.0,12600000000.0
arianagrande,92.0,333000000.0,3700000.0,5000.0,0.009,3100000.0,18500000000.0
kimkardashian,91.0,330700000.0,3500000.0,5700.0,0.005,1700000.0,19800000000.0
beyonce,92.0,276100000.0,3600000.0,2000.0,0.008,2200000.0,7300000000.0
khloekardashian,89.0,273900000.0,2400000.0,4100.0,0.002,404700.0,9800000000.0
justinbieber,91.0,260000000.0,1900000.0,7400.0,0.007,1700000.0,14000000000.0
kendalljenner,90.0,258899999.99999997,5500000.0,671.0,0.012,3000000.0,3700000000.0
natgeo,91.0,241100000.0,298900.0,10000.0,0.001,168700.0,3000000000.0
nike,90.0,239200000.0,316000.0,973.0,0.001,193600.0,307500000.0
taylorswift,91.0,226100000.0,2400000.0,542.0,0.015,3300000.0,1300000000.0
jlo,89.0,223100000.0,1700000.0,3200.0,0.005,1200000.0,5300000000.0
virat.kohli,87.0,215900000.0,3500000.0,1400.0,0.013,2700000.0,5000000000.0
nickiminaj,90.0,202700000.0,2000000.0,6400.0,0.004,837100.0,12900000000.0
kourtneykardash,89.0,199400000.0,1800000.0,4400.0,0.007,1300000.0,7800000000.0
mileycyrus,89.0,183600000.0,1300000.0,1200.0,0.004,702400.0,1600000000.0
neymarjr,90.0,179400000.0,2700000.0,5300.0,0.012,2200000.0,14400000000.0
katyperry,92.0,173300000.0,714800.0,2100.0,0.002,302900.0,1500000000.0
kevinhartreal,88.0,154200000.0,498000.0,8300.0,0.001,137600.0,4099999999.9999995
zendaya,87.0,153300000.0,5900000.0,3500.0,0.049,7500000.0,20800000000.0
iamcardib,75.0,141300000.0,3100000.0,1600.0,0.015,2000000.0,5000000000.0
ddlovato,88.0,140600000.0,1100000.0,105.0,0.002,305100.0,113300000.0
badgalriri,88.0,136300000.0,3700000.0,4800.0,0.051,6900000.0,18000000000.0
kingjames,86.0,133699999.99999999,2100000.0,2400.0,0.008,1000000.0,4900000000.0
realmadrid,90.0,125800000.0,989600.0,7100.0,0.005,682000.0,7100000000.0
theellenshow,87.0,125500000.0,412700.0,10000.0,0.001,59200.0,4099999999.9999995
champagnepapi,85.0,121400000.0,1700000.0,5200.0,0.012,1400000.0,9000000000.0
chrisbrownofficial,86.0,121200000.0,450000.0,7400.0,0.002,237900.0,3400000000.0
fcbarcelona,90.0,112500000.0,1100000.0,10000.0,0.007,807200.0,11500000000.0
billieeilish,73.0,106400000.0,8400000.0,710.0,0.047,4900000.0,6000000000.0
gal_gadot,85.0,88000000.0,1400000.0,1700.0,0.008,735900.0,2300000000.0
dualipa,74.0,87300000.0,2100000.0,1300.0,0.017,1500000.0,2700000000.0
vindiesel,88.0,83200000.0,1400000.0,1800.0,0.006,505800.0,2500000000.0
nasa,88.0,83100000.0,1200000.0,3600.0,0.014,1100000.0,4300000000.0
priyankachopra,85.0,82700000.0,1600000.0,3600.0,0.008,644600.0,5600000000.0
lalalalisa_m,70.0,82600000.0,6000000.0,893.0,0.088,7200000.0,5300000000.0
snoopdogg,86.0,76700000.0,211400.0,10000.0,0.004,278000.0,2100000000.0
Shakira,88.0,76200000.0,976100.0,2000.0,0.004,281800.0,1900000000.0
gigihadid,85.0,75900000.0,2400000.0,3300.0,0.015,1100000.0,7900000000.0
davidbeckham,86.0,75400000.0,1200000.0,1600.0,0.007,517700.00000000006,1900000000.0
shraddhakapoor,81.0,75200000.0,1600000.0,1900.0,0.016,1200000.0,3000000000.0
victoriassecret,88.0,73400000.0,144800.0,3000.0,0.0,25900.0,432000000.0
k.mbappe,86.0,72700000.0,2400000.0,1200.0,0.018,1300000.0,2800000000.0
nehakakkar,84.0,71400000.0,1500000.0,2300.0,0.008,585900.0,3400000000.0
aliaabhatt,82.0,71200000.0,1800000.0,1900.0,0.017,1200000.0,3300000000.0
nba,87.0,71100000.0,368000.0,12800.0,0.003,216200.0,4700000000.0
jennierubyjane,76.0,70500000.0,5200000.0,887.0,0.078,5400000.0,4600000000.0
shawnmendes,83.0,70500000.0,3500000.0,2500.0,0.025,1800000.0,8800000000.0
narendramodi,85.0,70200000.0,3000000.0,549.0,0.037,2600000.0,1600000000.0
deepikapadukone,83.0,69300000.0,1500000.0,285.0,0.009,616300.0,434600000.0
ronaldinho,78.0,68100000.0,868900.0,3000.0,0.007,480100.0,2600000000.0
tomholland2013,77.0,68100000.0,5400000.0,1200.0,0.117,7900000.0,6600000000.0
bts.bighitofficial,78.0,68100000.0,4099999.9999999995,1200.0,0.041,2800000.0,5000000000.0
emmawatson,87.0,67900000.0,1600000.0,379.0,0.007,467800.0,622700000.0
katrinakaif,85.0,67500000.0,1700000.0,1000.0,0.024,1600000.0,1800000000.0
marvel,82.0,66599999.99999999,330500.0,7200.0,0.004,289700.0,2400000000.0
justintimberlake,87.0,66500000.0,602000.0,785.0,0.013,842900.0,472600000.0
camila_cabello,77.0,65400000.00000001,1800000.0,2900.0,0.014,926800.0,5400000000.0
sooyaaa__,82.0,64700000.0,4700000.0,876.0,0.076,4900000.0,4099999999.9999995
raffinagita1717,83.0,64400000.00000001,386200.0,9800.0,0.004,262800.0,3800000000.0
jacquelinef143,85.0,63600000.0,1100000.0,2400.0,0.007,413800.0,2800000000.0
roses_are_rosie,82.0,63500000.0,4700000.0,854.0,0.073,4600000.0,4000000000.0
akshaykumar,85.0,63500000.0,1500000.0,1900.0,0.01,631400.0,2800000000.0
willsmith,82.0,63400000.0,1400000.0,1400.0,0.016,1000000.0,1900000000.0
anitta,82.0,63300000.0,857700.0,5100.0,0.01,595700.0,4400000000.0
maluma,84.0,62900000.0,1200000.0,8200.0,0.01,604200.0,9700000000.0
psg,86.0,62700000.0,499400.0,10100.0,0.006,347800.0,5100000000.0
manchesterunited,85.0,60800000.0,390000.0,9800.0,0.008,467500.0,3800000000.0
anushkasharma,85.0,60400000.0,1900000.0,1200.0,0.027,1700000.0,2300000000.0
marcelotwelve,86.0,59000000.0,694700.0,2700.0,0.011,665500.0,1900000000.0
whinderssonnunes,79.0,58800000.0,1600000.0,2800.0,0.009,505900.0,4400000000.0
milliebobbybrown,80.0,58600000.0,4099999.9999999995,290.0,0.082,4800000.0,1200000000.0
karimbenzema,42.0,58300000.0,863100.0,2000.0,0.017,989200.0,1800000000.0
gag,86.0,58000000.0,662000.0,10000.0,0.005,268400.0,6600000000.0
karolg,83.0,56800000.0,3100000.0,3300.0,0.09,5100000.0,10300000000.0
chrishemsworth,86.0,56000000.0,2600000.0,899.0,0.023,1300000.0,2300000000.0
iamzlatanibrahimovic,86.0,55800000.0,1500000.0,881.0,0.01,552900.0,1300000000.0
paulpogba,80.0,55500000.0,1400000.0,1300.0,0.01,553700.0,1800000000.0
zacefron,86.0,55200000.0,2300000.0,669.0,0.031,1700000.0,1500000000.0
juventus,87.0,55100000.0,194000.0,9900.0,0.003,150400.0,1900000000.0
bellahadid,79.0,55100000.0,1200000.0,3200.0,0.02,1100000.0,3700000000.0
leonardodicaprio,86.0,55100000.0,396600.0,1700.0,0.005,283700.0,675900000.0
beingsalmankhan,76.0,54500000.0,1400000.0,1200.0,0.02,1100000.0,1700000000.0
tatawerneck,86.0,54300000.0,958900.0,5600.0,0.01,515299.99999999994,5400000000.0
sunnyleone,84.0,54100000.0,748200.0,4700.0,0.006,330800.0,3500000000.0
dishapatani,74.0,53700000.0,1600000.0,2200.0,0.015,783600.0,3400000000.0
sergioramos,87.0,53500000.0,983700.0,2300.0,0.012,652700.0,2200000000.0
